19.900000, 0
19.800000, 0
19.700000, 0
19.600000, 0
19.500000, 0
19.400000, 0
19.300000, 0
19.200000, 0
19.100000, 0
19.000000, 0
18.900000, 0
18.800000, 0
18.700000, 0
18.600000, 0
18.500000, 0
18.400000, 0
18.300000, 0
18.200000, 0
18.100000, 0
18.000000, 0
17.900000, 0
17.800000, 0
17.700000, 0
17.600000, 0
17.500000, 0
17.400000, 0
17.300000, 0
17.200000, 0
17.100000, 0
17.000000, 0
16.900000, 0
16.800000, 0
16.700000, 0
16.600000, 0
16.500000, 0
16.400000, 0
16.300000, 0
16.200000, 0
16.100000, 0
16.000000, 0
15.900000, 0
15.800000, 0
15.700000, 0
15.600000, 0
15.500000, 0
15.400000, 0
15.300000, 0
15.200000, 0
15.100000, 0
15.000000, 0
14.900000, 0
14.800000, 0
14.700000, 0
14.600000, 0
14.500000, 0
14.400000, 0
14.300000, 0
14.200000, 0
14.100000, 0
14.000000, 0
13.900000, 0
13.800000, 0
13.700000, 0
13.600000, 0
13.500000, 0
13.400000, 0
13.300000, 0
13.200000, 0
13.100000, 0
13.000000, 0
12.900000, 0, 1
12.800000, 1, 1
12.700000, 2, 1
12.600000, 3, 1
12.500000, 4, 1
12.400000, 5, 1
12.300000, 6, 1
12.200000, 7, 1
12.100000, 8, 1
12.000000, 9, 2
11.900000, 11, 1
11.800000, 12, 1
11.700000, 13, 1
11.600000, 14, 1
11.500000, 15, 1
11.400000, 16, 1
11.300000, 17, 1
11.200000, 18, 1
11.100000, 19, 1
11.000000, 20, 2
10.900000, 22, 1
10.800000, 23, 1
10.700000, 24, 1
10.600000, 25, 1
10.500000, 26, 1
10.400000, 27, 1
10.300000, 28, 1
10.200000, 29, 1
10.100000, 30, 1
10.000000, 31, 2
9.900000, 33, 1
9.800000, 34, 1
9.700000, 35, 1
9.600000, 36, 1
9.500000, 37, 1
9.400000, 38, 1
9.300000, 39, 1
9.200000, 40, 1
9.100000, 41, 1
9.000000, 42, 2
8.900000, 44, 1
8.800000, 45, 1
8.700000, 46, 1
8.600000, 47, 1
8.500000, 48, 1
8.400000, 49, 1
8.300000, 50, 1
8.200000, 51, 1
8.100000, 52, 1
8.000000, 53, 2
7.900000, 55, 1
7.800000, 56, 1
7.700000, 57, 1
7.600000, 58, 1
7.500000, 59, 1
7.400000, 60, 1
7.300000, 61, 1
7.200000, 62, 1
7.100000, 63, 1
7.000000, 64, 2
6.900000, 66, 1
6.800000, 67, 1
6.700000, 68, 1
6.600000, 69, 1
6.500000, 70, 1
6.400000, 71, 1
6.300000, 72, 1
6.200000, 73, 1
6.100000, 74, 1
6.000000, 75, 2
5.900000, 77, 1
5.800000, 78, 1
5.700000, 79, 1
5.600000, 80, 1
5.500000, 81, 1
5.400000, 82, 1
5.300000, 83, 1
5.200000, 84, 1
5.100000, 85, 1
5.000000, 86, 2
4.900000, 88, 1
4.800000, 89, 1
4.700000, 90, 1
4.600000, 91, 1
4.500000, 92, 1
4.400000, 93, 1
4.300000, 94, 1
4.200000, 95, 1
4.100000, 96, 1
4.000000, 97, 2
3.900000, 99
3.800000, 99
3.700000, 99
3.600000, 99
3.500000, 99
3.400000, 99
3.300000, 99
3.200000, 99
3.100000, 99
3.000000, 99
2.900000, 99
2.800000, 99

